DATE,SMU26114603000000001A
1990-01-01,38.1
1991-01-01,36.3
1992-01-01,34.5
1993-01-01,31.5
1994-01-01,31.5
1995-01-01,31.5
1996-01-01,30.8
1997-01-01,30.7
1998-01-01,32.1
1999-01-01,32.5
2000-01-01,30.7
2001-01-01,28.5
2002-01-01,26.6
2003-01-01,24.8
2004-01-01,23.4
2005-01-01,22.3
2006-01-01,21.0
2007-01-01,19.0
2008-01-01,16.6
2009-01-01,13.9
2010-01-01,13.9
2011-01-01,14.1
2012-01-01,14.1
2013-01-01,14.1
2014-01-01,14.2
2015-01-01,14.5
2016-01-01,14.6
2017-01-01,14.5
2018-01-01,15.0
2019-01-01,14.8
